"lon","lat","acronym","scientific_name","source"
-3.632812,40.559494,"ALLAMP","Allium ampeloprasum L.","gbif"
0.167525,51.057808,"ALLAMP","Allium ampeloprasum L.","gbif"
-4.317114,37.616497,"ALLAMP","Allium ampeloprasum L.","gbif"
-3.585243,37.165464,"ALLAMP","Allium ampeloprasum L.","gbif"
5.688274,45.226225,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.430847,47.399955,"ALLAMP","Allium ampeloprasum L.","gbif"
2.158611,41.418056,"ALLAMP","Allium ampeloprasum L.","gbif"
14.578447,50.107328,"ALLAMP","Allium ampeloprasum L.","gbif"
15.657751,38.033456,"ALLAMP","Allium ampeloprasum L.","gbif"
4.555045,45.777652,"ALLAMP","Allium ampeloprasum L.","gbif"
2.386792,48.793355,"ALLAMP","Allium ampeloprasum L.","gbif"
-4.405,40.143056,"ALLAMP","Allium ampeloprasum L.","gbif"
3.008409,39.626481,"ALLAMP","Allium ampeloprasum L.","gbif"
-5.643122,37.87988,"ALLAMP","Allium ampeloprasum L.","gbif"
4.062229,44.07488,"ALLAMP","Allium ampeloprasum L.","gbif"
8.548755,40.74812,"ALLAMP","Allium ampeloprasum L.","gbif"
-4.819722,36.501111,"ALLAMP","Allium ampeloprasum L.","gbif"
2.341643,48.885712,"ALLAMP","Allium ampeloprasum L.","gbif"
-1.698889,55.412778,"ALLAMP","Allium ampeloprasum L.","gbif"
1.786813,43.746779,"ALLAMP","Allium ampeloprasum L.","gbif"
1.383956,43.594113,"ALLAMP","Allium ampeloprasum L.","gbif"
1.399755,43.705971,"ALLAMP","Allium ampeloprasum L.","gbif"
2.666111,39.574722,"ALLAMP","Allium ampeloprasum L.","gbif"
-4.072778,40.95,"ALLAMP","Allium ampeloprasum L.","gbif"
-4.753028,37.898523,"ALLAMP","Allium ampeloprasum L.","gbif"
13.895834,49.156045,"ALLAMP","Allium ampeloprasum L.","gbif"
14.317398,48.809291,"ALLAMP","Allium ampeloprasum L.","gbif"
-5.955353,37.398077,"ALLAMP","Allium ampeloprasum L.","gbif"
3.74727,48.034534,"ALLAMP","Allium ampeloprasum L.","gbif"
3.004994,39.504246,"ALLAMP","Allium ampeloprasum L.","gbif"
6.675033,48.025832,"ALLAMP","Allium ampeloprasum L.","gbif"
0.459375,51.53136,"ALLAMP","Allium ampeloprasum L.","gbif"
1.460993,43.678468,"ALLAMP","Allium ampeloprasum L.","gbif"
-2.238695,51.880333,"ALLAMP","Allium ampeloprasum L.","gbif"
0.083611,51.243055,"ALLAMP","Allium ampeloprasum L.","gbif"
-1.29416,52.536252,"ALLAMP","Allium ampeloprasum L.","gbif"
-2.407231,52.968363,"ALLAMP","Allium ampeloprasum L.","gbif"
14.452998,48.961445,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.474611,51.138596,"ALLAMP","Allium ampeloprasum L.","gbif"
2.971944,43.143056,"ALLAMP","Allium ampeloprasum L.","gbif"
-4.409142,36.727646,"ALLAMP","Allium ampeloprasum L.","gbif"
-1.106077,45.826901,"ALLAMP","Allium ampeloprasum L.","gbif"
-1.149392,37.954273,"ALLAMP","Allium ampeloprasum L.","gbif"
4.363744,43.877016,"ALLAMP","Allium ampeloprasum L.","gbif"
3.992222,43.621111,"ALLAMP","Allium ampeloprasum L.","gbif"
4.243596,43.743102,"ALLAMP","Allium ampeloprasum L.","gbif"
-1.275251,52.389936,"ALLAMP","Allium ampeloprasum L.","gbif"
-1.730833,41.893333,"ALLAMP","Allium ampeloprasum L.","gbif"
8.568201,40.73848,"ALLAMP","Allium ampeloprasum L.","gbif"
3.803003,43.503892,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.434146,38.465922,"ALLAMP","Allium ampeloprasum L.","gbif"
14.373803,50.130466,"ALLAMP","Allium ampeloprasum L.","gbif"
-1.504771,53.373084,"ALLAMP","Allium ampeloprasum L.","gbif"
0.163993,52.479489,"ALLAMP","Allium ampeloprasum L.","gbif"
17.398937,40.721066,"ALLAMP","Allium ampeloprasum L.","gbif"
2.373934,41.626748,"ALLAMP","Allium ampeloprasum L.","gbif"
0.997429,43.041214,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.311299,51.51761,"ALLAMP","Allium ampeloprasum L.","gbif"
9.080726,39.393597,"ALLAMP","Allium ampeloprasum L.","gbif"
4.834775,46.17001,"ALLAMP","Allium ampeloprasum L.","gbif"
-1.090946,37.955707,"ALLAMP","Allium ampeloprasum L.","gbif"
12.348927,43.105145,"ALLAMP","Allium ampeloprasum L.","gbif"
-1.225834,41.822056,"ALLAMP","Allium ampeloprasum L.","gbif"
12.391934,41.910924,"ALLAMP","Allium ampeloprasum L.","gbif"
-4.024829,39.878746,"ALLAMP","Allium ampeloprasum L.","gbif"
-7.869154,42.343044,"ALLAMP","Allium ampeloprasum L.","gbif"
-9.014722,38.545556,"ALLAMP","Allium ampeloprasum L.","gbif"
30.233055,50.125,"ALLAMP","Allium ampeloprasum L.","gbif"
5.623056,48.689722,"ALLAMP","Allium ampeloprasum L.","gbif"
10.91334,44.621876,"ALLAMP","Allium ampeloprasum L.","gbif"
16.472441,39.689771,"ALLAMP","Allium ampeloprasum L.","gbif"
13.005833,41.315833,"ALLAMP","Allium ampeloprasum L.","gbif"
4.096664,43.555432,"ALLAMP","Allium ampeloprasum L.","gbif"
2.911929,42.157108,"ALLAMP","Allium ampeloprasum L.","gbif"
-5.975889,37.367182,"ALLAMP","Allium ampeloprasum L.","gbif"
-5.156417,36.747812,"ALLAMP","Allium ampeloprasum L.","gbif"
0.494105,44.842653,"ALLAMP","Allium ampeloprasum L.","gbif"
2.397094,42.609206,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.1725,40.214444,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.578955,44.814639,"ALLAMP","Allium ampeloprasum L.","gbif"
14.690203,40.803292,"ALLAMP","Allium ampeloprasum L.","gbif"
8.963557,39.309143,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.87991,37.620246,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.573223,44.809018,"ALLAMP","Allium ampeloprasum L.","gbif"
22.941681,40.660694,"ALLAMP","Allium ampeloprasum L.","gbif"
1.430985,43.452346,"ALLAMP","Allium ampeloprasum L.","gbif"
2.911251,43.277521,"ALLAMP","Allium ampeloprasum L.","gbif"
14.12819,42.428436,"ALLAMP","Allium ampeloprasum L.","gbif"
0.505774,41.3619,"ALLAMP","Allium ampeloprasum L.","gbif"
-2.645632,53.727228,"ALLAMP","Allium ampeloprasum L.","gbif"
2.363061,48.848029,"ALLAMP","Allium ampeloprasum L.","gbif"
3.852917,50.210496,"ALLAMP","Allium ampeloprasum L.","gbif"
4.079797,43.89997,"ALLAMP","Allium ampeloprasum L.","gbif"
-0.661944,44.793333,"ALLAMP","Allium ampeloprasum L.","gbif"
-2.625278,51.494167,"ALLAMP","Allium ampeloprasum L.","gbif"
4.876289,45.075229,"ALLAMP","Allium ampeloprasum L.","gbif"
1.300279,43.376159,"ALLAMP","Allium ampeloprasum L.","gbif"
-1.460743,51.01132,"ALLAMP","Allium ampeloprasum L.","gbif"
-5.928965,37.400769,"ALLAMP","Allium ampeloprasum L.","gbif"
5.646944,45.378889,"ALLAMP","Allium ampeloprasum L.","gbif"
4.381111,43.832222,"ALLAMP","Allium ampeloprasum L.","gbif"
1.317696,44.097431,"ALLAMP","Allium ampeloprasum L.","gbif"
-4.724304,37.919815,"ALLAMP","Allium ampeloprasum L.","gbif"
-6.193275,37.184252,"ALLAMP","Allium ampeloprasum L.","gbif"
